trial	speed	player_pos	ball_pos	distance	broad	jitter	change_loc	shift_pos	trial_nr	block
15	0.5	5	1	9	5	0.3	-5	5	1	0
13	0.5	5	1	9	5	0.44999999999999996	-7	5	2	0
14	0.5	5	1	9	5	0.75	-6	5	3	0
12	0.5	5	1	9	5	0.9	-8	5	4	0
2	0.5	5	1	9	5	0.44999999999999996	-9	-5	5	0
1	0.5	5	1	9	5	0.44999999999999996	-10	-5	6	0
18	0.5	5	1	9	5	0.6	-2	5	7	0
6	0.5	5	1	9	5	0.75	-5	-5	8	0
10	0.5	5	1	9	5	0.9	-10	5	9	0
9	0.5	5	1	9	5	0.6	-2	-5	10	0
11	0.5	5	1	9	5	0.9	-9	5	11	0
5	0.5	5	1	9	5	0.44999999999999996	-6	-5	12	0
17	0.5	5	1	9	5	0.9	-3	5	13	0
3	0.5	5	1	9	5	0.3	-8	-5	14	0
8	0.5	5	1	9	5	0.75	-3	-5	15	0
7	0.5	5	1	9	5	0.6	-4	-5	16	0
16	0.5	5	1	9	5	0.44999999999999996	-4	5	17	0
4	0.5	5	1	9	5	0.6	-7	-5	18	0
