trial	speed	player_pos	ball_pos	distance	broad	jitter	change_loc	shift_pos	trial_nr	block
35	0.5	5	1	9	5	0.3	-5.0	5	1	0
33	0.5	5	1	9	5	0.6	-6.0	5	2	0
66	0.5	5	1	9	5	0.44999999999999996	-7.5	5	3	0
57	0.5	5	1	9	5	0.44999999999999996	-7.5	-5	4	0
62	0.5	5	1	9	5	0.44999999999999996	-5.0	-5	5	0
38	0.5	5	1	9	5	0.44999999999999996	-8.0	-5	6	0
9	0.5	5	1	9	5	0.75	-4.5	-5	7	0
15	0.5	5	1	9	5	0.44999999999999996	-6.0	5	8	0
37	0.5	5	1	9	5	0.3	-8.5	-5	9	0
12	0.5	5	1	9	5	0.75	-7.5	5	10	0
8	0.5	5	1	9	5	0.3	-5.0	-5	11	0
71	0.5	5	1	9	5	0.44999999999999996	-5.0	5	12	0
72	0.5	5	1	9	5	0.75	-4.5	5	13	0
59	0.5	5	1	9	5	0.3	-6.5	-5	14	0
60	0.5	5	1	9	5	0.44999999999999996	-6.0	-5	15	0
43	0.5	5	1	9	5	0.6	-5.5	-5	16	0
14	0.5	5	1	9	5	0.9	-6.5	5	17	0
34	0.5	5	1	9	5	0.75	-5.5	5	18	0
65	0.5	5	1	9	5	0.75	-8.0	5	19	0
70	0.5	5	1	9	5	0.6	-5.5	5	20	0
49	0.5	5	1	9	5	0.44999999999999996	-7.0	5	21	0
39	0.5	5	1	9	5	0.3	-7.5	-5	22	0
23	0.5	5	1	9	5	0.6	-6.5	-5	23	0
7	0.5	5	1	9	5	0.75	-5.5	-5	24	0
58	0.5	5	1	9	5	0.75	-7.0	-5	25	0
45	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	26	0
4	0.5	5	1	9	5	0.6	-7.0	-5	27	0
69	0.5	5	1	9	5	0.44999999999999996	-6.0	5	28	0
42	0.5	5	1	9	5	0.9	-6.0	-5	29	0
11	0.5	5	1	9	5	0.44999999999999996	-8.0	5	30	0
29	0.5	5	1	9	5	0.3	-8.0	5	31	0
17	0.5	5	1	9	5	0.3	-5.0	5	32	0
25	0.5	5	1	9	5	0.75	-5.5	-5	33	0
48	0.5	5	1	9	5	0.75	-7.5	5	34	0
56	0.5	5	1	9	5	0.75	-8.0	-5	35	0
64	0.5	5	1	9	5	0.6	-8.5	5	36	0
46	0.5	5	1	9	5	0.6	-8.5	5	37	0
28	0.5	5	1	9	5	0.6	-8.5	5	38	0
21	0.5	5	1	9	5	0.3	-7.5	-5	39	0
22	0.5	5	1	9	5	0.3	-7.0	-5	40	0
55	0.5	5	1	9	5	0.3	-8.5	-5	41	0
13	0.5	5	1	9	5	0.75	-7.0	5	42	0
24	0.5	5	1	9	5	0.9	-6.0	-5	43	0
2	0.5	5	1	9	5	0.9	-8.0	-5	44	0
50	0.5	5	1	9	5	0.75	-6.5	5	45	0
18	0.5	5	1	9	5	0.44999999999999996	-4.5	5	46	0
32	0.5	5	1	9	5	0.44999999999999996	-6.5	5	47	0
54	0.5	5	1	9	5	0.75	-4.5	5	48	0
63	0.5	5	1	9	5	0.6	-4.5	-5	49	0
31	0.5	5	1	9	5	0.3	-7.0	5	50	0
30	0.5	5	1	9	5	0.6	-7.5	5	51	0
52	0.5	5	1	9	5	0.9	-5.5	5	52	0
36	0.5	5	1	9	5	0.3	-4.5	5	53	0
68	0.5	5	1	9	5	0.44999999999999996	-6.5	5	54	0
6	0.5	5	1	9	5	0.9	-6.0	-5	55	0
16	0.5	5	1	9	5	0.9	-5.5	5	56	0
53	0.5	5	1	9	5	0.9	-5.0	5	57	0
5	0.5	5	1	9	5	0.6	-6.5	-5	58	0
1	0.5	5	1	9	5	0.9	-8.5	-5	59	0
10	0.5	5	1	9	5	0.6	-8.5	5	60	0
19	0.5	5	1	9	5	0.3	-8.5	-5	61	0
40	0.5	5	1	9	5	0.6	-7.0	-5	62	0
47	0.5	5	1	9	5	0.75	-8.0	5	63	0
20	0.5	5	1	9	5	0.44999999999999996	-8.0	-5	64	0
51	0.5	5	1	9	5	0.44999999999999996	-6.0	5	65	0
44	0.5	5	1	9	5	0.9	-5.0	-5	66	0
26	0.5	5	1	9	5	0.6	-5.0	-5	67	0
67	0.5	5	1	9	5	0.44999999999999996	-7.0	5	68	0
61	0.5	5	1	9	5	0.75	-5.5	-5	69	0
27	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	70	0
41	0.5	5	1	9	5	0.75	-6.5	-5	71	0
3	0.5	5	1	9	5	0.6	-7.5	-5	72	0
28	0.5	5	1	9	5	0.6	-8.5	5	1	1
44	0.5	5	1	9	5	0.9	-5.0	-5	2	1
68	0.5	5	1	9	5	0.44999999999999996	-6.5	5	3	1
4	0.5	5	1	9	5	0.6	-7.0	-5	4	1
3	0.5	5	1	9	5	0.6	-7.5	-5	5	1
2	0.5	5	1	9	5	0.9	-8.0	-5	6	1
46	0.5	5	1	9	5	0.6	-8.5	5	7	1
26	0.5	5	1	9	5	0.6	-5.0	-5	8	1
49	0.5	5	1	9	5	0.44999999999999996	-7.0	5	9	1
30	0.5	5	1	9	5	0.6	-7.5	5	10	1
22	0.5	5	1	9	5	0.3	-7.0	-5	11	1
13	0.5	5	1	9	5	0.75	-7.0	5	12	1
55	0.5	5	1	9	5	0.3	-8.5	-5	13	1
23	0.5	5	1	9	5	0.6	-6.5	-5	14	1
66	0.5	5	1	9	5	0.44999999999999996	-7.5	5	15	1
56	0.5	5	1	9	5	0.75	-8.0	-5	16	1
17	0.5	5	1	9	5	0.3	-5.0	5	17	1
18	0.5	5	1	9	5	0.44999999999999996	-4.5	5	18	1
57	0.5	5	1	9	5	0.44999999999999996	-7.5	-5	19	1
36	0.5	5	1	9	5	0.3	-4.5	5	20	1
62	0.5	5	1	9	5	0.44999999999999996	-5.0	-5	21	1
65	0.5	5	1	9	5	0.75	-8.0	5	22	1
58	0.5	5	1	9	5	0.75	-7.0	-5	23	1
54	0.5	5	1	9	5	0.75	-4.5	5	24	1
48	0.5	5	1	9	5	0.75	-7.5	5	25	1
12	0.5	5	1	9	5	0.75	-7.5	5	26	1
38	0.5	5	1	9	5	0.44999999999999996	-8.0	-5	27	1
53	0.5	5	1	9	5	0.9	-5.0	5	28	1
37	0.5	5	1	9	5	0.3	-8.5	-5	29	1
42	0.5	5	1	9	5	0.9	-6.0	-5	30	1
60	0.5	5	1	9	5	0.44999999999999996	-6.0	-5	31	1
33	0.5	5	1	9	5	0.6	-6.0	5	32	1
39	0.5	5	1	9	5	0.3	-7.5	-5	33	1
59	0.5	5	1	9	5	0.3	-6.5	-5	34	1
5	0.5	5	1	9	5	0.6	-6.5	-5	35	1
10	0.5	5	1	9	5	0.6	-8.5	5	36	1
16	0.5	5	1	9	5	0.9	-5.5	5	37	1
63	0.5	5	1	9	5	0.6	-4.5	-5	38	1
40	0.5	5	1	9	5	0.6	-7.0	-5	39	1
61	0.5	5	1	9	5	0.75	-5.5	-5	40	1
43	0.5	5	1	9	5	0.6	-5.5	-5	41	1
71	0.5	5	1	9	5	0.44999999999999996	-5.0	5	42	1
1	0.5	5	1	9	5	0.9	-8.5	-5	43	1
14	0.5	5	1	9	5	0.9	-6.5	5	44	1
20	0.5	5	1	9	5	0.44999999999999996	-8.0	-5	45	1
32	0.5	5	1	9	5	0.44999999999999996	-6.5	5	46	1
69	0.5	5	1	9	5	0.44999999999999996	-6.0	5	47	1
29	0.5	5	1	9	5	0.3	-8.0	5	48	1
21	0.5	5	1	9	5	0.3	-7.5	-5	49	1
52	0.5	5	1	9	5	0.9	-5.5	5	50	1
27	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	51	1
51	0.5	5	1	9	5	0.44999999999999996	-6.0	5	52	1
31	0.5	5	1	9	5	0.3	-7.0	5	53	1
41	0.5	5	1	9	5	0.75	-6.5	-5	54	1
70	0.5	5	1	9	5	0.6	-5.5	5	55	1
35	0.5	5	1	9	5	0.3	-5.0	5	56	1
72	0.5	5	1	9	5	0.75	-4.5	5	57	1
6	0.5	5	1	9	5	0.9	-6.0	-5	58	1
47	0.5	5	1	9	5	0.75	-8.0	5	59	1
45	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	60	1
9	0.5	5	1	9	5	0.75	-4.5	-5	61	1
7	0.5	5	1	9	5	0.75	-5.5	-5	62	1
8	0.5	5	1	9	5	0.3	-5.0	-5	63	1
67	0.5	5	1	9	5	0.44999999999999996	-7.0	5	64	1
24	0.5	5	1	9	5	0.9	-6.0	-5	65	1
19	0.5	5	1	9	5	0.3	-8.5	-5	66	1
25	0.5	5	1	9	5	0.75	-5.5	-5	67	1
15	0.5	5	1	9	5	0.44999999999999996	-6.0	5	68	1
50	0.5	5	1	9	5	0.75	-6.5	5	69	1
34	0.5	5	1	9	5	0.75	-5.5	5	70	1
64	0.5	5	1	9	5	0.6	-8.5	5	71	1
11	0.5	5	1	9	5	0.44999999999999996	-8.0	5	72	1
60	0.5	5	1	9	5	0.44999999999999996	-6.0	-5	1	2
65	0.5	5	1	9	5	0.75	-8.0	5	2	2
2	0.5	5	1	9	5	0.9	-8.0	-5	3	2
64	0.5	5	1	9	5	0.6	-8.5	5	4	2
54	0.5	5	1	9	5	0.75	-4.5	5	5	2
66	0.5	5	1	9	5	0.44999999999999996	-7.5	5	6	2
40	0.5	5	1	9	5	0.6	-7.0	-5	7	2
11	0.5	5	1	9	5	0.44999999999999996	-8.0	5	8	2
5	0.5	5	1	9	5	0.6	-6.5	-5	9	2
67	0.5	5	1	9	5	0.44999999999999996	-7.0	5	10	2
41	0.5	5	1	9	5	0.75	-6.5	-5	11	2
29	0.5	5	1	9	5	0.3	-8.0	5	12	2
42	0.5	5	1	9	5	0.9	-6.0	-5	13	2
62	0.5	5	1	9	5	0.44999999999999996	-5.0	-5	14	2
34	0.5	5	1	9	5	0.75	-5.5	5	15	2
21	0.5	5	1	9	5	0.3	-7.5	-5	16	2
70	0.5	5	1	9	5	0.6	-5.5	5	17	2
37	0.5	5	1	9	5	0.3	-8.5	-5	18	2
19	0.5	5	1	9	5	0.3	-8.5	-5	19	2
8	0.5	5	1	9	5	0.3	-5.0	-5	20	2
57	0.5	5	1	9	5	0.44999999999999996	-7.5	-5	21	2
23	0.5	5	1	9	5	0.6	-6.5	-5	22	2
72	0.5	5	1	9	5	0.75	-4.5	5	23	2
3	0.5	5	1	9	5	0.6	-7.5	-5	24	2
25	0.5	5	1	9	5	0.75	-5.5	-5	25	2
71	0.5	5	1	9	5	0.44999999999999996	-5.0	5	26	2
31	0.5	5	1	9	5	0.3	-7.0	5	27	2
17	0.5	5	1	9	5	0.3	-5.0	5	28	2
49	0.5	5	1	9	5	0.44999999999999996	-7.0	5	29	2
24	0.5	5	1	9	5	0.9	-6.0	-5	30	2
28	0.5	5	1	9	5	0.6	-8.5	5	31	2
39	0.5	5	1	9	5	0.3	-7.5	-5	32	2
30	0.5	5	1	9	5	0.6	-7.5	5	33	2
51	0.5	5	1	9	5	0.44999999999999996	-6.0	5	34	2
59	0.5	5	1	9	5	0.3	-6.5	-5	35	2
35	0.5	5	1	9	5	0.3	-5.0	5	36	2
4	0.5	5	1	9	5	0.6	-7.0	-5	37	2
48	0.5	5	1	9	5	0.75	-7.5	5	38	2
14	0.5	5	1	9	5	0.9	-6.5	5	39	2
15	0.5	5	1	9	5	0.44999999999999996	-6.0	5	40	2
27	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	41	2
61	0.5	5	1	9	5	0.75	-5.5	-5	42	2
16	0.5	5	1	9	5	0.9	-5.5	5	43	2
22	0.5	5	1	9	5	0.3	-7.0	-5	44	2
47	0.5	5	1	9	5	0.75	-8.0	5	45	2
43	0.5	5	1	9	5	0.6	-5.5	-5	46	2
12	0.5	5	1	9	5	0.75	-7.5	5	47	2
38	0.5	5	1	9	5	0.44999999999999996	-8.0	-5	48	2
68	0.5	5	1	9	5	0.44999999999999996	-6.5	5	49	2
20	0.5	5	1	9	5	0.44999999999999996	-8.0	-5	50	2
6	0.5	5	1	9	5	0.9	-6.0	-5	51	2
44	0.5	5	1	9	5	0.9	-5.0	-5	52	2
36	0.5	5	1	9	5	0.3	-4.5	5	53	2
56	0.5	5	1	9	5	0.75	-8.0	-5	54	2
7	0.5	5	1	9	5	0.75	-5.5	-5	55	2
58	0.5	5	1	9	5	0.75	-7.0	-5	56	2
50	0.5	5	1	9	5	0.75	-6.5	5	57	2
55	0.5	5	1	9	5	0.3	-8.5	-5	58	2
13	0.5	5	1	9	5	0.75	-7.0	5	59	2
32	0.5	5	1	9	5	0.44999999999999996	-6.5	5	60	2
10	0.5	5	1	9	5	0.6	-8.5	5	61	2
69	0.5	5	1	9	5	0.44999999999999996	-6.0	5	62	2
46	0.5	5	1	9	5	0.6	-8.5	5	63	2
1	0.5	5	1	9	5	0.9	-8.5	-5	64	2
45	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	65	2
52	0.5	5	1	9	5	0.9	-5.5	5	66	2
33	0.5	5	1	9	5	0.6	-6.0	5	67	2
9	0.5	5	1	9	5	0.75	-4.5	-5	68	2
18	0.5	5	1	9	5	0.44999999999999996	-4.5	5	69	2
26	0.5	5	1	9	5	0.6	-5.0	-5	70	2
53	0.5	5	1	9	5	0.9	-5.0	5	71	2
63	0.5	5	1	9	5	0.6	-4.5	-5	72	2
47	0.5	5	1	9	5	0.75	-8.0	5	1	3
16	0.5	5	1	9	5	0.9	-5.5	5	2	3
4	0.5	5	1	9	5	0.6	-7.0	-5	3	3
25	0.5	5	1	9	5	0.75	-5.5	-5	4	3
62	0.5	5	1	9	5	0.44999999999999996	-5.0	-5	5	3
3	0.5	5	1	9	5	0.6	-7.5	-5	6	3
2	0.5	5	1	9	5	0.9	-8.0	-5	7	3
69	0.5	5	1	9	5	0.44999999999999996	-6.0	5	8	3
9	0.5	5	1	9	5	0.75	-4.5	-5	9	3
28	0.5	5	1	9	5	0.6	-8.5	5	10	3
60	0.5	5	1	9	5	0.44999999999999996	-6.0	-5	11	3
49	0.5	5	1	9	5	0.44999999999999996	-7.0	5	12	3
44	0.5	5	1	9	5	0.9	-5.0	-5	13	3
50	0.5	5	1	9	5	0.75	-6.5	5	14	3
38	0.5	5	1	9	5	0.44999999999999996	-8.0	-5	15	3
45	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	16	3
54	0.5	5	1	9	5	0.75	-4.5	5	17	3
46	0.5	5	1	9	5	0.6	-8.5	5	18	3
31	0.5	5	1	9	5	0.3	-7.0	5	19	3
35	0.5	5	1	9	5	0.3	-5.0	5	20	3
55	0.5	5	1	9	5	0.3	-8.5	-5	21	3
67	0.5	5	1	9	5	0.44999999999999996	-7.0	5	22	3
70	0.5	5	1	9	5	0.6	-5.5	5	23	3
30	0.5	5	1	9	5	0.6	-7.5	5	24	3
8	0.5	5	1	9	5	0.3	-5.0	-5	25	3
5	0.5	5	1	9	5	0.6	-6.5	-5	26	3
53	0.5	5	1	9	5	0.9	-5.0	5	27	3
29	0.5	5	1	9	5	0.3	-8.0	5	28	3
40	0.5	5	1	9	5	0.6	-7.0	-5	29	3
15	0.5	5	1	9	5	0.44999999999999996	-6.0	5	30	3
43	0.5	5	1	9	5	0.6	-5.5	-5	31	3
58	0.5	5	1	9	5	0.75	-7.0	-5	32	3
27	0.5	5	1	9	5	0.44999999999999996	-4.5	-5	33	3
1	0.5	5	1	9	5	0.9	-8.5	-5	34	3
17	0.5	5	1	9	5	0.3	-5.0	5	35	3
33	0.5	5	1	9	5	0.6	-6.0	5	36	3
64	0.5	5	1	9	5	0.6	-8.5	5	37	3
66	0.5	5	1	9	5	0.44999999999999996	-7.5	5	38	3
12	0.5	5	1	9	5	0.75	-7.5	5	39	3
19	0.5	5	1	9	5	0.3	-8.5	-5	40	3
34	0.5	5	1	9	5	0.75	-5.5	5	41	3
57	0.5	5	1	9	5	0.44999999999999996	-7.5	-5	42	3
51	0.5	5	1	9	5	0.44999999999999996	-6.0	5	43	3
14	0.5	5	1	9	5	0.9	-6.5	5	44	3
41	0.5	5	1	9	5	0.75	-6.5	-5	45	3
65	0.5	5	1	9	5	0.75	-8.0	5	46	3
10	0.5	5	1	9	5	0.6	-8.5	5	47	3
21	0.5	5	1	9	5	0.3	-7.5	-5	48	3
7	0.5	5	1	9	5	0.75	-5.5	-5	49	3
